OBJECTID,WI_UNIQUE_WELL_NO,COUNTY_NAME,STUDY_WELL_NO,PLSS_DTRS,PLSS_DESC,Shape__Area,Shape__Length
408,ZF893,Vilas,429,4431031,3143N10E,2540597.35766602,6353.85413513167
409,RB194,Vilas,170,4411027,2741N10E,2604239.66088867,6476.15467015873
410,TF854,Vilas,236,4410526,2641N05E,2604024.57162476,6469.40855049408
411,ZJ132,Vilas,432,4400805,0540N08E,2189406.70565796,5827.46716519195
412,KN730,Vilas,65,4400615,1540N06E,2608567.61868286,6470.76353287903
413,GG270,Vilas,37,4400427,2740N04E,2557469.27230835,6405.67868722392
414,MP942,Iron,104,4460119,1946N01E,2677269.53643799,6512.67916905649
415,WL316,Iron,325,4450119,1945N01E,2695348.08184814,6578.92769864636
416,TW990,Iron,260,4440429,2944N04E,2502674.24179077,6421.7101681779
417,UM230,Iron,277,4430311,1143N03E,2558996.18191528,6377.29160691884
418,SL943,Douglas,214,2481327,2748N13W,2616767.79200745,6440.47697379626
419,VC453,Douglas,307,2481233,3348N12W,2602807.05761719,6480.1900585427
420,SL963,Douglas,215,2471410,1047N14W,2603689.92019653,6439.29661420499
421,XB717,Douglas,346,2471108,0847N11W,2584456.82247925,6433.9040846924
422,YO667,Douglas,406,2471336,3647N13W,2579123.81010437,6427.11618977899
423,NX556,Douglas,133,2461113,1346N11W,2561466.78009033,6398.74763308233
424,RM860,Douglas,181,2451131,3145N11W,2651449.38504028,6529.07338553987
425,XN578,Douglas,367,2441203,0344N12W,2520134.17590332,6373.04745424713
426,NF875,Douglas,120,2441431,3144N14W,2653103.80801392,6556.29108917419
427,YC103,Douglas,393,2431132,3243N11W,2520367.07037354,6378.78135837361
428,YX403,Douglas,413,2431231,3143N12W,2623761.30545044,6505.56435679314
429,VE191,Bayfield,310,2510519,1951N05W,2622089.20413208,6460.55171035179
430,RA894,Bayfield,169,2510629,2951N06W,2613141.49176025,6465.95851599745
431,XD529,Bayfield,350,2500830,3050N08W,2662197.34338379,6519.42057643041
432,SA055,Bayfield,200,2490817,1749N08W,2456105.68765259,6269.63973593437
433,XN252,Bayfield,365,2490427,2749N04W,2469046.33425903,6302.93264462201
434,XV193,Bayfield,380,2470919,1947N09W,2581967.65155029,6444.93897964005
435,ZG014,Bayfield,430,2470827,2747N08W,2562294.12402344,6405.99382494117
436,YU906,Bayfield,411,2470532,3247N05W,2596827.89248657,6441.12263315481
437,YN838,Bayfield,405,2450721,2145N07W,2529099.54272461,6400.77070464942
438,WQ128,Bayfield,330,2440905,0544N09W,2580148.5620575,6481.06291972786
439,AAH816,Bayfield,13,2440632,3244N06W,2600659.39727783,6472.95905621267
440,YL407,Bayfield,402,2430610,1043N06W,2542604.85720825,6388.80506751428
441,WT170,Bayfield,337,2430535,3543N05W,2540771.33599854,6415.74358815788
442,XF521,Ashland,353,2470409,0947N04W,2565796.6394043,6403.33137681695
443,UK740,Ashland,275,2460407,0746N04W,2563370.78842163,6407.31199646451
444,RP932,Ashland,187,2450410,1045N04W,2559532.4781189,6400.12238054297
445,LZ062,Ashland,92,2450321,2145N03W,2528352.86068726,6360.33252745012
446,UR320,Ashland,285,2430404,0443N04W,2894501.10568237,6803.16662159858
447,WO123,Ashland,327,2430126,2643N01W,2513551.3520813,6341.09881066801
448,SM835,Ashland,216,2420218,1842N02W,2589283.82217407,6448.67197596413
449,RO667,Ashland,185,4410130,3041N01E,2712481.4541626,6570.90059468827
450,PY201,Ashland,149,2410132,3241N01W,2547583.2517395,6391.83553219438
